,Pokemon_A,Pokemon_B,Winner
607,494,398,494
608,285,415,415
609,643,177,643
610,506,350,350
611,658,203,658
612,632,207,632
613,330,550,550
614,703,692,703
615,620,602,620
616,585,668,668
617,315,704,704
618,442,265,265
619,365,307,307
620,575,529,575
621,1,343,343
622,104,21,104
623,19,586,586
624,328,129,129
625,206,283,206
626,511,66,66
627,434,652,434
628,316,578,316
629,326,1,326
630,509,667,509
631,748,39,748
632,37,673,37
633,632,241,632
634,666,202,202
635,469,677,677
636,362,55,362
637,454,133,133
638,214,297,214
639,720,569,569
640,608,471,608
641,276,44,276
642,728,155,155
643,18,625,18
644,794,84,794
645,36,585,36
646,499,666,499
647,16,247,16
648,416,48,48
649,638,261,261
650,478,68,478
651,15,787,787
652,30,57,57
653,69,448,448
654,495,393,495
655,649,151,649
656,588,748,588
657,368,799,368
658,573,590,590
659,591,49,591
660,287,342,342
661,201,382,201
662,90,32,32
663,431,610,610
664,511,649,649
665,719,612,612
666,390,669,390
667,236,113,236
668,303,382,382
669,437,420,420
670,32,702,702
671,585,396,585
672,720,698,698
673,580,515,580
674,687,614,614
675,435,495,495
676,191,398,398
677,267,621,267
678,16,739,16
679,582,42,582
680,340,407,340
681,655,371,371
682,170,136,136
683,80,122,80
684,715,286,715
685,191,591,591
686,90,503,503
687,784,645,645
688,110,424,110
689,684,9,9
690,186,371,371
691,210,211,211
692,35,119,119
693,358,631,358
694,176,7,7
695,371,394,394
696,687,610,610
697,193,613,193
698,112,462,462
699,394,605,394
700,571,359,571
701,499,284,499
702,76,345,345
703,431,501,431
704,584,292,292
705,316,138,316
706,125,724,724
707,765,702,702
708,450,224,450
709,358,269,358
710,631,798,798
711,332,342,342
712,663,743,663
713,699,448,699
714,518,333,518
715,177,227,177
716,327,575,575
717,435,115,115
718,246,355,246
719,58,147,147
720,380,621,380
721,68,706,706
722,758,614,614
723,720,771,771
724,266,512,266
725,484,12,484
726,165,664,165
727,163,330,163
728,216,598,216
729,589,251,589
730,74,794,794
731,324,255,255
732,480,247,480
733,266,738,738
734,141,117,141
735,720,371,371
736,798,326,326
737,217,484,484
738,476,634,476
739,582,165,165
740,124,570,570
741,415,37,37
742,308,614,614
743,588,589,588
744,412,701,701
745,764,586,764
746,743,355,743
747,257,632,257
748,546,407,546
749,748,12,748
750,436,272,272
751,765,752,765
752,120,492,492
753,683,393,393
754,42,314,314
755,552,133,552
756,695,79,79
757,66,574,574
758,228,296,228
759,12,553,553
760,798,449,449
761,427,247,427
762,263,734,263
763,599,582,582
764,769,500,769
765,314,501,314
766,433,244,244
767,327,16,16
768,25,497,25
769,190,788,788
770,704,96,704
771,716,739,716
772,231,32,32
773,319,642,642
774,732,217,732
775,379,437,437
776,47,281,47
777,164,352,164
778,793,771,793
779,369,646,646
780,212,576,212
781,319,222,319
782,482,462,462
783,234,687,234
784,469,629,629
785,310,80,80
786,10,269,269
787,680,266,266
788,135,748,135
789,103,138,103
790,434,740,740
791,235,516,516
792,403,343,343
793,475,682,682
794,225,114,114
795,309,445,309
796,191,253,253
797,362,427,427
798,170,3,3
799,735,420,420
800,394,61,394
801,573,646,646
802,725,114,725
803,358,386,358
804,790,431,431
805,482,573,573
806,204,18,204
807,757,300,300
808,402,647,647
809,179,201,179
810,619,319,619
811,210,14,14
812,92,469,469
813,549,738,549
814,777,311,777
815,735,622,735
816,763,377,377
817,799,234,234
818,195,422,422
819,329,572,572
820,144,709,709
821,244,185,244
822,48,132,132
823,87,93,93
824,660,469,469
825,267,192,192
826,532,285,532
827,261,377,261
828,619,502,502
829,52,551,551
830,733,728,728
831,275,111,275
832,657,30,30
833,760,419,419
834,548,152,548
835,575,279,279
836,758,9,9
837,5,738,738
838,227,306,306
839,740,437,437
840,418,567,418
841,619,586,619
842,242,604,242
843,370,723,723
844,189,727,727
845,186,228,228
846,350,598,350
847,630,766,766
848,501,252,252
849,219,322,219
850,722,113,722
851,79,722,79
852,643,645,643
853,618,289,618
854,787,71,71
855,726,21,726
856,69,722,69
857,106,267,106
858,469,102,102
859,736,648,648
860,70,748,70
861,288,20,20
862,419,218,419
863,737,134,737
864,660,409,409
865,475,298,475
866,278,679,679
867,199,586,586
868,241,672,672
869,529,788,788
870,333,424,424
871,739,54,739
872,454,722,722
873,568,379,568
874,514,757,514
875,515,276,276
876,362,736,362
877,478,130,478
878,440,467,467
879,212,29,212
880,108,99,108
881,412,198,198
882,242,158,158
883,641,90,90
884,550,132,550
885,694,93,694
886,532,403,532
887,416,783,416
888,453,787,453
889,315,687,687
890,740,656,740
891,448,111,448
892,423,207,423
893,141,556,556
894,479,156,479
895,448,530,448
896,341,384,341
897,70,27,70
898,585,515,515
899,795,557,557
900,409,430,430
901,434,471,471
902,456,89,89
903,295,298,298
904,293,623,623
905,612,44,44
906,328,231,328
907,697,173,697
908,294,463,463
909,366,131,131
910,285,604,604
911,585,256,585
912,31,782,31
913,253,88,253
914,328,36,36
915,744,686,686
916,226,35,35
917,792,139,792
918,687,321,687
919,692,4,4
920,447,400,400
921,469,790,790
922,455,460,455
923,560,245,245
924,276,175,276
925,689,679,679
926,659,727,727
927,784,294,784
928,433,654,654
929,72,57,72
930,198,263,263
931,246,393,393
932,623,363,623
933,71,35,71
934,670,38,670
935,386,74,74
936,115,101,101
937,87,571,571
938,532,469,532
939,360,435,435
940,387,486,387
941,22,175,175
942,266,649,649
943,786,777,786
944,179,556,556
945,542,616,542
946,426,522,522
947,145,530,145
948,660,703,703
949,10,60,60
950,38,756,756
951,254,343,343
952,30,624,30
953,93,281,93
954,554,734,554
955,521,74,521
956,723,596,723
957,653,427,427
958,368,769,368
959,538,471,538
960,256,242,242
961,613,269,613
962,278,651,651
963,707,255,707
964,761,788,788
965,609,442,442
966,464,495,495
967,626,386,386
968,71,736,71
969,672,576,576
970,349,793,793
971,138,340,340
972,400,249,249
973,693,44,44
974,72,360,360
975,230,145,230
976,595,421,421
977,370,298,370
978,108,249,249
979,291,204,204
980,655,713,713
981,663,207,663
982,648,588,588
983,243,553,553
984,240,6,6
985,354,75,75
986,497,122,497
987,769,218,769
988,235,137,137
989,756,229,756
990,413,339,339
991,228,677,677
992,183,719,183
993,502,483,483
994,97,622,622
995,613,624,624
996,772,83,772
997,200,654,200
998,386,373,373
999,179,112,179
1000,725,194,725
1001,715,265,715
1002,459,525,525
1003,474,107,474
1004,94,770,770
1005,123,177,177
1006,536,597,536
1007,623,353,623
1008,390,336,336
1009,358,416,358
1010,174,504,174
1011,24,328,24
1012,424,429,429
1013,355,625,625
1014,134,146,134
1015,201,590,590
1016,337,307,307
1017,8,52,8
1018,364,19,19
1019,673,612,673
1020,508,48,48
1021,530,156,530
1022,322,754,322
1023,634,488,634
1024,227,551,551
1025,316,554,316
1026,691,759,691
1027,259,455,455
1028,638,400,638
1029,380,403,380
1030,455,216,216
1031,60,734,60
1032,703,658,703
1033,351,783,351
1034,712,37,712
1035,221,494,494
1036,396,344,344
1037,472,458,472
1038,150,11,11
1039,102,456,102
1040,529,293,293
1041,354,767,767
1042,231,720,720
1043,300,579,579
1044,525,462,525
1045,208,766,208
1046,273,9,9
1047,213,756,756
1048,486,181,486
1049,390,77,77
1050,151,515,151
1051,366,110,110
1052,786,159,786
1053,152,388,388
1054,538,211,538
1055,760,366,366
1056,611,201,611
1057,407,750,407
1058,248,464,248
1059,133,564,133
1060,355,333,333
1061,312,528,528
1062,399,95,95
1063,229,217,229
1064,271,171,271
1065,559,335,335
1066,65,496,65
1067,544,352,544
1068,328,470,470
1069,195,280,280
1070,31,699,699
1071,140,216,216
1072,407,641,407
1073,702,379,702
1074,101,727,727
1075,149,168,168
1076,146,118,146
1077,179,532,532
1078,777,341,341
1079,729,647,647
1080,324,82,82
1081,503,380,503
1082,62,674,674
1083,214,318,214
1084,777,108,777
1085,21,776,776
1086,63,465,465
1087,302,233,302
1088,37,394,394
1089,308,459,459
1090,68,263,263
1091,478,638,478
1092,439,81,439
1093,614,97,614
1094,261,4,261
1095,226,486,486
1096,498,170,498
1097,758,728,758
1098,602,457,602
1099,724,799,724
1100,546,419,419
1101,728,403,728
1102,259,268,259
1103,706,632,706
1104,277,702,702
1105,538,197,538
1106,324,179,179
1107,91,538,538
1108,607,5,5
1109,91,351,351
1110,221,643,643
1111,74,783,783
1112,546,411,546
1113,100,515,515
1114,554,483,554
1115,553,375,553
1116,620,286,286
1117,736,97,736
1118,10,99,99
1119,475,262,475
1120,680,394,394
1121,91,588,588
1122,370,686,370
1123,393,339,339
1124,711,545,711
1125,192,381,192
1126,799,788,799
1127,645,59,59
1128,652,633,633
1129,235,391,391
1130,424,634,424
1131,150,482,482
1132,589,43,589
1133,520,604,520
1134,166,742,166
1135,641,516,516
1136,632,137,137
1137,535,437,535
1138,601,350,350
1139,346,3,3
1140,277,63,63
1141,159,187,159
1142,535,47,535
1143,315,784,784
1144,486,124,124
1145,186,557,557
1146,581,507,581
1147,194,380,380
1148,699,286,699
1149,649,226,649
1150,177,771,177
1151,269,723,723
1152,268,203,268
1153,635,146,635
1154,793,640,793
1155,274,276,276
1156,673,648,648
1157,389,397,397
1158,99,235,99
1159,663,650,663
1160,19,326,19
1161,120,423,423
1162,488,452,488
1163,760,700,700
1164,403,540,540
1165,527,337,337
1166,217,383,383
1167,531,152,531
1168,250,651,250
1169,147,475,147
1170,168,183,168
1171,29,600,600
1172,285,246,246
1173,60,742,742
1174,28,46,28
1175,496,355,355
1176,621,728,728
1177,331,139,139
1178,693,75,693
1179,457,624,624
1180,440,178,178
1181,484,4,484
1182,13,83,13
1183,377,113,377
1184,429,391,429
1185,87,408,408
1186,118,463,463
1187,251,357,357
1188,265,41,265
1189,352,394,394
1190,343,564,343
1191,277,75,75
1192,244,336,336
1193,485,595,595
1194,220,318,318
1195,336,545,545
1196,558,517,517
1197,459,119,119
1198,667,489,489
1199,463,702,702
1200,261,541,261
1201,348,597,597
1202,289,176,176
1203,664,600,600
1204,232,599,232
1205,74,604,604
1206,751,736,736
1207,351,359,359
1208,131,551,131
1209,93,140,93
1210,756,673,756
1211,553,784,553
1212,687,315,687
1213,12,706,706
1214,81,430,430
1215,244,124,124
1216,617,685,685
1217,312,333,333
1218,781,107,781
1219,784,328,784
1220,655,379,655
1221,442,445,442
1222,419,766,419
1223,237,25,25
1224,173,697,697
1225,202,721,202
1226,280,343,280
1227,381,445,381
1228,259,215,259
1229,315,142,142
1230,360,217,217
1231,209,112,209
1232,704,35,704
1233,316,664,316
1234,652,36,36
1235,211,168,168
1236,677,288,677
1237,358,765,358
1238,126,680,126
1239,88,771,771
1240,206,513,513
1241,230,117,230
1242,278,565,565
1243,712,32,32
1244,728,482,728
1245,466,400,466
1246,592,462,462
1247,738,15,738
1248,325,570,570
1249,716,120,716
1250,725,411,725
1251,733,737,737
1252,83,649,649
1253,717,568,717
1254,522,798,522
1255,299,39,299
1256,733,200,200
1257,738,198,198
1258,783,203,203
1259,126,753,753
1260,339,341,339
1261,666,77,77
1262,657,779,657
1263,183,484,484
1264,80,133,133
1265,749,528,528
1266,299,415,299
1267,89,659,89
1268,158,417,158
1269,538,10,538
1270,564,269,269
1271,415,453,453
1272,504,502,502
1273,106,515,106
1274,430,755,430
1275,338,176,338
1276,311,391,311
1277,692,478,478
1278,98,643,643
1279,56,545,56
1280,586,346,346
1281,608,419,608
1282,746,221,746
1283,524,550,550
1284,286,107,286
1285,397,749,749
1286,397,337,337
1287,614,108,614
1288,323,397,397
1289,68,563,563
1290,38,282,282
1291,370,140,140
1292,398,607,398
1293,294,449,449
1294,67,69,69
1295,169,83,169
1296,644,223,223
1297,265,124,124
1298,792,692,792
1299,388,469,469
1300,377,197,377
1301,106,264,264
1302,533,753,533
1303,389,237,389
1304,795,560,795
1305,108,320,108
1306,575,328,328
1307,36,765,765
1308,485,316,316
1309,565,741,565
1310,72,721,72
1311,247,704,704
1312,202,767,202
1313,449,137,137
1314,107,321,107
1315,350,3,350
1316,306,170,306
1317,233,421,421
1318,464,710,710
1319,405,85,85
1320,794,47,794
1321,124,237,124
1322,426,566,426
1323,16,720,16
1324,372,20,20
1325,225,725,225
1326,601,588,588
1327,91,460,91
1328,468,116,116
1329,790,436,436
1330,256,118,118
1331,143,759,143
1332,462,449,462
1333,689,696,689
1334,782,23,23
1335,185,144,185
1336,663,551,551
1337,174,581,581
1338,670,526,526
1339,122,651,651
1340,660,537,537
1341,781,360,360
1342,52,642,642
1343,593,478,478
1344,409,454,409
1345,428,122,428
1346,135,434,135
1347,503,96,503
1348,414,182,414
1349,144,354,144
1350,787,235,787
1351,169,356,169
1352,234,557,557
1353,723,763,723
1354,468,173,173
1355,485,695,695
1356,164,591,164
1357,248,567,248
1358,451,4,4
1359,98,409,409
1360,190,155,155
1361,233,125,125
1362,272,544,544
1363,195,490,490
1364,383,408,383
1365,352,413,413
1366,714,701,701
1367,563,362,362
1368,213,1,213
1369,362,369,362
1370,186,462,462
1371,631,257,631
1372,682,180,682
1373,319,687,687
1374,581,351,581
1375,210,353,353
1376,265,769,265
1377,107,734,107
1378,58,518,518
1379,353,263,263
1380,394,209,394
1381,748,359,748
1382,728,603,603
1383,125,164,164
1384,302,737,737
1385,643,507,643
1386,346,119,119
1387,437,244,437
1388,724,68,724
1389,661,51,51
1390,145,388,388
1391,476,166,476
1392,134,781,134
1393,582,671,671
1394,134,416,134
1395,99,455,99
1396,22,91,22
1397,546,673,546
1398,523,678,523
1399,677,609,677
1400,339,573,339
1401,57,133,57
1402,789,285,285
1403,280,328,328
1404,322,622,622
1405,261,49,261
1406,548,180,548
1407,265,252,265
1408,689,576,576
1409,145,401,401
1410,660,438,438
1411,566,483,483
1412,781,350,350
1413,563,230,230
1414,77,150,77
1415,218,624,624
1416,572,686,572
1417,99,700,700
1418,416,7,7
1419,277,179,179
1420,233,465,465
1421,379,595,595
1422,399,72,72
1423,415,476,476
1424,129,790,129
1425,787,683,787
1426,613,279,279
1427,179,372,179
1428,336,759,336
1429,101,388,101
1430,645,243,645
1431,35,397,397
1432,726,797,797
1433,699,416,699
1434,638,790,638
1435,777,579,777
1436,638,480,480
1437,516,167,167
1438,344,61,61
1439,21,738,21
1440,40,319,40
1441,114,80,80
1442,217,378,217
1443,650,413,413
1444,439,297,439
1445,299,719,299
1446,88,265,265
1447,616,743,616
1448,659,522,522
1449,698,298,298
1450,367,219,219
1451,471,315,315
1452,784,402,784
1453,603,230,603
1454,776,690,690
1455,559,203,559
1456,752,623,623
1457,771,379,771
1458,171,720,171
1459,693,646,646
1460,740,349,349
1461,93,170,93
1462,649,226,649
1463,692,400,692
1464,728,91,91
1465,333,620,333
1466,607,135,135
1467,419,640,419
1468,334,741,741
1469,547,464,547
1470,671,215,671
1471,689,414,414
1472,23,429,429
1473,8,1,8
1474,708,471,708
1475,172,593,172
1476,401,98,401
1477,726,546,726
1478,485,471,471
1479,459,276,276
1480,127,184,184
1481,711,214,711
1482,477,320,477
1483,200,9,9
1484,281,102,102
1485,537,718,718
1486,241,529,529
1487,118,80,80
1488,318,785,785
1489,465,170,465
1490,497,673,673
1491,190,48,48
1492,26,765,26
1493,671,219,219
1494,62,288,288
1495,699,311,699
1496,383,502,383
1497,507,30,30
1498,235,64,64
1499,621,132,132
1500,486,781,781
1501,368,474,368
1502,191,272,272
1503,330,482,330
1504,68,355,68
1505,330,500,330
1506,491,762,762
1507,727,429,429
1508,108,29,108
1509,665,701,701
1510,437,396,437
1511,624,430,430
1512,434,757,757
1513,689,273,273
1514,670,609,670
1515,163,769,163
1516,99,362,362
1517,350,434,350
1518,145,548,548
1519,649,109,649
1520,263,242,263
1521,39,73,39
1522,401,423,423
1523,788,218,788
1524,688,355,688
1525,775,182,775
1526,25,10,25
1527,573,443,443
1528,67,770,67
1529,614,459,614
1530,46,579,579
1531,570,713,570
1532,297,526,526
1533,380,718,718
1534,466,23,23
1535,677,193,677
1536,556,354,556
1537,307,462,307
1538,345,311,311
1539,235,309,309
1540,686,273,273
1541,56,253,56
1542,297,249,249
1543,438,204,438
1544,755,7,7
1545,674,701,701
1546,675,407,407
1547,499,273,499
1548,77,154,154
1549,541,288,288
1550,689,598,598
1551,590,167,590
1552,645,88,645
1553,191,387,387
1554,99,221,99
1555,651,467,467
1556,601,511,511
1557,504,347,347
1558,236,580,580
1559,514,600,600
1560,156,85,85
1561,15,627,627
1562,72,443,72
1563,80,171,80
1564,624,462,462
1565,710,155,155
1566,497,168,168
1567,170,410,410
1568,148,601,148
1569,680,241,241
1570,309,541,541
1571,227,693,693
1572,310,126,126
1573,373,116,116
1574,250,258,250
1575,279,782,279
1576,29,72,72
1577,742,157,157
1578,344,245,344
1579,45,190,190
1580,572,359,572
1581,311,547,547
1582,726,567,726
1583,284,293,284
1584,487,458,487
1585,556,13,556
1586,208,668,668
1587,752,684,752
1588,747,470,747
1589,523,642,523
1590,311,692,692
1591,50,203,203
1592,489,350,350
1593,97,434,97
1594,549,429,429
1595,464,756,756
1596,372,155,155
1597,113,676,676
1598,104,289,104
1599,286,37,37
1600,456,724,724
1601,675,679,679
1602,762,561,561
1603,146,481,481
1604,354,44,44
1605,143,401,401
1606,438,352,438
1607,27,784,27
1608,652,485,485
1609,53,565,565
1610,736,537,537
1611,725,168,725
1612,299,717,717
1613,171,552,552
1614,781,590,590
1615,7,750,7
1616,136,193,193
1617,281,603,603
1618,626,722,722
1619,147,230,147
1620,251,317,317
1621,711,18,711
1622,119,158,158
1623,637,317,317
1624,475,458,475
1625,474,588,588
1626,510,491,510
1627,636,246,246
1628,225,131,225
1629,527,558,527
1630,416,51,51
1631,75,406,75
1632,608,52,608
1633,508,723,508
1634,685,503,503
1635,514,154,154
1636,598,567,598
1637,295,44,44
1638,151,168,168
1639,354,58,354
1640,156,308,156
1641,660,360,660
1642,468,192,192
1643,22,265,265
1644,143,43,43
1645,73,778,778
1646,65,541,65
1647,85,303,85
1648,306,469,469
1649,379,774,774
1650,771,603,603
1651,604,758,758
1652,302,580,302
1653,760,109,109
1654,578,32,32
1655,733,750,750
1656,408,342,342
1657,727,542,727
1658,179,265,265
1659,573,578,573
1660,535,89,535
1661,166,81,166
